Value,Avg3,Stdev3,Minimum3,Maximum3,Fluctuation3,Avg5,Stdev5,Minimum5,Maximum5,Fluctuation5,Avg7,Stdev7,Minimum7,Maximum7,Fluctuation7,Hour,Minute,Second,Microsecond,
12.3,11.866666666666667,0.9073771725877471,11.2,12.9,1.700000000000001,11.82,0.6906518659932804,11.2,12.9,1.700000000000001,12.028571428571428,0.682432623571211,11.2,12.9,1.700000000000001,7,48,35,736187,
12.3,12.233333333333334,0.7023769168568494,11.5,12.9,1.4000000000000004,11.86,0.7162401831787997,11.2,12.9,1.700000000000001,12.028571428571428,0.682432623571211,11.2,12.9,1.700000000000001,7,48,35,836780,
12.0,12.5,0.34641016151377524,12.3,12.9,0.5999999999999996,12.040000000000001,0.6841052550594833,11.2,12.9,1.700000000000001,11.957142857142857,0.6106202935189292,11.2,12.9,1.700000000000001,7,48,35,937204,
11.0,12.200000000000001,0.17320508075688815,12.0,12.3,0.3000000000000007,12.200000000000001,0.5099019513592786,11.5,12.9,1.4000000000000004,11.942857142857143,0.6078847008469698,11.2,12.9,1.700000000000001,7,48,36,37652,
11.1,11.766666666666667,0.6806859285554049,11.0,12.3,1.3000000000000007,12.1,0.6964194138592062,11.0,12.9,1.9000000000000004,11.885714285714286,0.6817344825970777,11.0,12.9,1.9000000000000004,7,48,36,138290,
11.1,11.366666666666667,0.5507570547286104,11.0,12.0,1.0,11.74,0.6426507605223855,11.0,12.3,1.3000000000000007,11.871428571428572,0.6993193970194302,11.0,12.9,1.9000000000000004,7,48,36,238930,
12.4,11.066666666666666,0.05773502691896237,11.0,11.1,0.09999999999999964,11.5,0.604152298679729,11.0,12.3,1.3000000000000007,11.814285714285715,0.749285373825335,11.0,12.9,1.9000000000000004,7,48,36,339540,
11.1,11.533333333333333,0.7505553499465139,11.1,12.4,1.3000000000000007,11.52,0.6379655163094635,11.0,12.4,1.4000000000000004,11.742857142857144,0.6451282633635552,11.0,12.4,1.4000000000000004,7,48,36,440179,
11.6,11.533333333333333,0.7505553499465139,11.1,12.4,1.3000000000000007,11.34,0.5941380311005182,11.0,12.4,1.4000000000000004,11.571428571428571,0.6317021600783232,11.0,12.4,1.4000000000000004,7,48,36,540881,
12.4,11.7,0.6557438524302004,11.1,12.4,1.3000000000000007,11.459999999999999,0.5683308895353132,11.1,12.4,1.3000000000000007,11.471428571428572,0.5468524655221181,11.0,12.4,1.4000000000000004,7,48,36,641545,
12.8,11.7,0.6557438524302004,11.1,12.4,1.3000000000000007,11.72,0.653452370108182,11.1,12.4,1.3000000000000007,11.528571428571428,0.6264031867582992,11.0,12.4,1.4000000000000004,7,48,36,742028,
11.5,12.266666666666667,0.6110100926607792,11.6,12.8,1.200000000000001,12.06,0.6913754406977447,11.1,12.8,1.700000000000001,11.785714285714286,0.7335497516155525,11.1,12.8,1.700000000000001,7,48,36,842505,
12.9,12.233333333333334,0.6658328118479396,11.5,12.8,1.3000000000000007,11.88,0.6978538528947165,11.1,12.8,1.700000000000001,11.842857142857143,0.6852180744287253,11.1,12.8,1.700000000000001,7,48,36,943197,
12.4,12.4,0.7810249675906658,11.5,12.9,1.4000000000000004,12.24,0.6580273550544844,11.5,12.9,1.4000000000000004,12.1,0.6976149845485453,11.1,12.9,1.8000000000000007,7,48,37,43875,
12.0,12.266666666666667,0.7094598884597589,11.5,12.9,1.4000000000000004,12.4,0.5522680508593633,11.5,12.9,1.4000000000000004,12.1,0.6976149845485453,11.1,12.9,1.8000000000000007,7,48,37,144499,
12.1,12.433333333333334,0.4509249752822896,12.0,12.9,0.9000000000000004,12.32,0.5805170109479999,11.5,12.9,1.4000000000000004,12.22857142857143,0.549891764241794,11.5,12.9,1.4000000000000004,7,48,37,245179,
11.3,12.166666666666666,0.20816659994661352,12.0,12.4,0.40000000000000036,12.18,0.5167204273105527,11.5,12.9,1.4000000000000004,12.3,0.48304589153964816,11.5,12.9,1.4000000000000004,7,48,37,349381,
11.4,11.8,0.43588989435406683,11.3,12.1,0.7999999999999989,12.14,0.5856620185738528,11.3,12.9,1.5999999999999996,12.142857142857142,0.6078847008469696,11.3,12.9,1.5999999999999996,7,48,37,450068,
11.2,11.6,0.43588989435406683,11.3,12.1,0.7999999999999989,11.84,0.47222875812470355,11.3,12.4,1.0999999999999996,11.942857142857143,0.5855400437691198,11.3,12.9,1.5999999999999996,7,48,37,550742,
12.2,11.3,0.10000000000000053,11.2,11.4,0.20000000000000107,11.6,0.41833001326703767,11.2,12.1,0.9000000000000004,11.9,0.632455532033676,11.2,12.9,1.700000000000001,7,48,37,651646,
11.9,11.6,0.5291502622129179,11.2,12.2,1.0,11.64,0.4722287581247035,11.2,12.2,1.0,11.8,0.4864839839775474,11.2,12.4,1.200000000000001,7,48,37,752270,
12.1,11.766666666666666,0.5131601439446886,11.2,12.2,1.0,11.6,0.43011626335213116,11.2,12.2,1.0,11.728571428571428,0.41518785191880586,11.2,12.2,1.0,7,48,37,852752,
12.3,12.066666666666666,0.15275252316519414,11.9,12.2,0.29999999999999893,11.76,0.43931765272977585,11.2,12.2,1.0,11.742857142857142,0.4276179870598788,11.2,12.2,1.0,7,48,37,953196,
11.1,12.1,0.20000000000000018,11.9,12.3,0.40000000000000036,11.94,0.43931765272977624,11.2,12.3,1.1000000000000014,11.771428571428572,0.4608480795022937,11.2,12.3,1.1000000000000014,7,48,38,53892,
12.6,11.833333333333334,0.642910050732864,11.1,12.3,1.200000000000001,11.92,0.48166378315169195,11.1,12.3,1.200000000000001,11.742857142857142,0.4995235825502233,11.1,12.3,1.200000000000001,7,48,38,154665,
11.5,12.0,0.7937253933193774,11.1,12.6,1.5,12.0,0.5656854249492381,11.1,12.6,1.5,11.914285714285715,0.5639993245521118,11.1,12.6,1.5,7,48,38,255300,
11.9,11.733333333333333,0.7767453465154028,11.1,12.6,1.5,11.92,0.6099180272790763,11.1,12.6,1.5,11.957142857142857,0.5094347941825426,11.1,12.6,1.5,7,48,38,356016,
12.6,12.0,0.556776436283002,11.5,12.6,1.0999999999999996,11.88,0.6016643582596531,11.1,12.6,1.5,11.914285714285715,0.4980915960897535,11.1,12.6,1.5,7,48,38,456887,
11.4,12.0,0.556776436283002,11.5,12.6,1.0999999999999996,11.94,0.6655824516917493,11.1,12.6,1.5,12.014285714285714,0.5610364558225293,11.1,12.6,1.5,7,48,38,557602,
11.4,11.966666666666667,0.6027713773341704,11.4,12.6,1.1999999999999993,12.0,0.578791845139511,11.4,12.6,1.1999999999999993,11.914285714285715,0.603955217513604,11.1,12.6,1.5,7,48,38,658180,
11.1,11.8,0.6928203230275505,11.4,12.6,1.1999999999999993,11.76,0.5128352561983232,11.4,12.6,1.1999999999999993,11.785714285714286,0.6039552175136039,11.1,12.6,1.5,7,48,38,758813,
12.6,11.3,0.17320508075688815,11.1,11.4,0.3000000000000007,11.68,0.5890670590009255,11.1,12.6,1.5,11.785714285714286,0.6039552175136039,11.1,12.6,1.5,7,48,38,859383,
12.0,11.7,0.7937253933193771,11.1,12.6,1.5,11.82,0.7224956747275375,11.1,12.6,1.5,11.785714285714286,0.6039552175136039,11.1,12.6,1.5,7,48,38,959838,
12.2,11.9,0.754983443527075,11.1,12.6,1.5,11.7,0.5999999999999999,11.1,12.6,1.5,11.857142857142858,0.5940177967511939,11.1,12.6,1.5,7,48,39,60397,
11.8,12.266666666666666,0.3055050463303892,12.0,12.6,0.5999999999999996,11.86,0.6066300355241239,11.1,12.6,1.5,11.9,0.6082762530298217,11.1,12.6,1.5,7,48,39,160873,
11.9,12.0,0.1999999999999993,11.8,12.2,0.3999999999999986,11.94,0.5549774770204642,11.1,12.6,1.5,11.785714285714286,0.5241773600241664,11.1,12.6,1.5,7,48,39,261302,
12.0,11.966666666666667,0.20816659994661255,11.8,12.2,0.3999999999999986,12.1,0.3162277660168375,11.8,12.6,0.7999999999999989,11.857142857142858,0.4961758520831864,11.1,12.6,1.5,7,48,39,361847,
11.3,11.9,0.09999999999999964,11.8,12.0,0.1999999999999993,11.98,0.14832396974191275,11.8,12.2,0.3999999999999986,11.942857142857143,0.45408201482824234,11.1,12.6,1.5,7,48,39,462262,
12.2,11.733333333333334,0.3785938897200179,11.3,12.0,0.6999999999999993,11.84,0.33615472627943177,11.3,12.2,0.8999999999999986,11.971428571428572,0.3946064947695177,11.3,12.6,1.299999999999999,7,48,39,562704,
11.6,11.833333333333334,0.47258156262526013,11.3,12.2,0.8999999999999986,11.84,0.33615472627943177,11.3,12.2,0.8999999999999986,11.914285714285715,0.30783421635988495,11.3,12.2,0.8999999999999986,7,48,39,663108,
12.4,11.7,0.4582575694955834,11.3,12.2,0.8999999999999986,11.8,0.3535533905932734,11.3,12.2,0.8999999999999986,11.857142857142858,0.3258688021128686,11.3,12.2,0.8999999999999986,7,48,39,763544,
12.4,12.066666666666666,0.41633319989322676,11.6,12.4,0.8000000000000007,11.9,0.44721359549995776,11.3,12.4,1.0999999999999996,11.885714285714286,0.3670993118515814,11.3,12.4,1.0999999999999996,7,48,39,864020,
12.3,12.133333333333333,0.46188021535170104,11.6,12.4,0.8000000000000007,11.98,0.5019960159204452,11.3,12.4,1.0999999999999996,11.971428571428572,0.41115400891590365,11.3,12.4,1.0999999999999996,7,48,39,964426,
12.2,12.366666666666667,0.05773502691896237,12.3,12.4,0.09999999999999964,12.18,0.33466401061363055,11.6,12.4,0.8000000000000007,12.028571428571428,0.4270608298368657,11.3,12.4,1.0999999999999996,7,48,40,64909,
11.7,12.3,0.10000000000000053,12.2,12.4,0.20000000000000107,12.18,0.33466401061363055,11.6,12.4,0.8000000000000007,12.057142857142857,0.43149794459588814,11.3,12.4,1.0999999999999996,7,48,40,165550,
11.1,12.066666666666666,0.32145502536643233,11.7,12.3,0.6000000000000014,12.2,0.2915475947422655,11.7,12.4,0.7000000000000011,12.114285714285714,0.3287784027201883,11.6,12.4,0.8000000000000007,7,48,40,266058,
11.5,11.666666666666666,0.55075705472861,11.1,12.2,1.0999999999999996,11.94,0.5412947441089747,11.1,12.4,1.3000000000000007,11.957142857142857,0.4995235825502234,11.1,12.4,1.3000000000000007,7,48,40,366719,
12.6,11.433333333333334,0.3055050463303892,11.1,11.7,0.5999999999999996,11.76,0.49799598391954947,11.1,12.3,1.200000000000001,11.942857142857143,0.5126959555693249,11.1,12.4,1.3000000000000007,7,48,40,467388,
12.0,11.733333333333333,0.7767453465154028,11.1,12.6,1.5,11.82,0.5890670590009256,11.1,12.6,1.5,11.971428571428572,0.546852465522118,11.1,12.6,1.5,7,48,40,568111,
11.1,12.033333333333333,0.55075705472861,11.5,12.6,1.0999999999999996,11.78,0.5630275304103699,11.1,12.6,1.5,11.914285714285715,0.51455019654248,11.1,12.6,1.5,7,48,40,668758,
11.4,11.9,0.754983443527075,11.1,12.6,1.5,11.66,0.6426507605223851,11.1,12.6,1.5,11.742857142857142,0.5623081683476385,11.1,12.6,1.5,7,48,40,769578,
12.0,11.5,0.4582575694955841,11.1,12.0,0.9000000000000004,11.72,0.5890670590009255,11.1,12.6,1.5,11.628571428571428,0.5345224838248488,11.1,12.6,1.5,7,48,40,870495,
11.7,11.5,0.4582575694955841,11.1,12.0,0.9000000000000004,11.82,0.5848076606885377,11.1,12.6,1.5,11.67142857142857,0.552914356581818,11.1,12.6,1.5,7,48,40,971121,
12.8,11.7,0.2999999999999998,11.4,12.0,0.5999999999999996,11.64,0.391152144312159,11.1,12.0,0.9000000000000004,11.757142857142856,0.4928053803045811,11.1,12.6,1.5,7,48,41,71722,
11.5,12.166666666666666,0.5686240703077333,11.7,12.8,1.1000000000000014,11.8,0.6519202405202652,11.1,12.8,1.700000000000001,11.942857142857143,0.610620293518929,11.1,12.8,1.700000000000001,7,48,41,172298,
12.8,12.0,0.7000000000000005,11.5,12.8,1.3000000000000007,11.88,0.5630275304103701,11.4,12.8,1.4000000000000004,11.785714285714286,0.5520524474738836,11.1,12.8,1.700000000000001,7,48,41,272871,
12.7,12.366666666666667,0.7505553499465139,11.5,12.8,1.3000000000000007,12.16,0.6107372593840993,11.5,12.8,1.3000000000000007,11.9,0.6733003292241388,11.1,12.8,1.700000000000001,7,48,41,373669,
11.3,12.333333333333334,0.7234178138070235,11.5,12.8,1.3000000000000007,12.3,0.6442049363362566,11.5,12.8,1.3000000000000007,12.128571428571428,0.6264031867582991,11.4,12.8,1.4000000000000004,7,48,41,474438,
12.1,12.266666666666667,0.8386497083606079,11.3,12.8,1.5,12.22,0.7529940238806679,11.3,12.8,1.5,12.114285714285714,0.64660284417503,11.3,12.8,1.5,7,48,41,575057,
12.3,12.033333333333333,0.7023769168568486,11.3,12.7,1.3999999999999986,12.08,0.679705818718657,11.3,12.8,1.5,12.128571428571428,0.6447590912226719,11.3,12.8,1.5,7,48,41,675564,
12.7,11.9,0.5291502622129179,11.3,12.3,1.0,12.24,0.5983310120660634,11.3,12.8,1.5,12.214285714285715,0.6175990377490653,11.3,12.8,1.5,7,48,41,776227,
12.7,12.366666666666667,0.305505046330389,12.1,12.7,0.5999999999999996,12.22,0.5761944116355168,11.3,12.7,1.3999999999999986,12.2,0.6027713773341706,11.3,12.8,1.5,7,48,41,876749,
12.8,12.566666666666666,0.2309401076758495,12.3,12.7,0.3999999999999986,12.22,0.5761944116355168,11.3,12.7,1.3999999999999986,12.371428571428572,0.5376314900074387,11.3,12.8,1.5,7,48,41,977182,
11.2,12.733333333333333,0.0577350269189634,12.7,12.8,0.10000000000000142,12.52,0.303315017762062,12.1,12.8,0.7000000000000011,12.371428571428572,0.5376314900074387,11.3,12.8,1.5,7,48,42,77964,
12.6,12.233333333333333,0.8962886439832506,11.2,12.8,1.6000000000000014,12.34,0.6655824516917497,11.2,12.8,1.6000000000000014,12.157142857142857,0.667974906856894,11.2,12.8,1.6000000000000014,7,48,42,178447,
11.0,12.2,0.8717797887081353,11.2,12.8,1.6000000000000014,12.4,0.6745368781616023,11.2,12.8,1.6000000000000014,12.342857142857143,0.5623081683476387,11.2,12.8,1.6000000000000014,7,48,42,278947,
11.3,11.6,0.8717797887081347,11.0,12.6,1.5999999999999996,12.06,0.882043082847998,11.0,12.8,1.8000000000000007,12.185714285714285,0.7603257447273756,11.0,12.8,1.8000000000000007,7,48,42,379598,
12.8,11.633333333333333,0.8504900548115378,11.0,12.6,1.5999999999999996,11.78,0.8497058314499202,11.0,12.8,1.8000000000000007,12.042857142857143,0.8263517065131183,11.0,12.8,1.8000000000000007,7,48,42,480268,
12.1,11.700000000000001,0.9643650760992958,11.0,12.8,1.8000000000000007,11.78,0.8497058314499202,11.0,12.8,1.8000000000000007,12.057142857142857,0.8403514004215595,11.0,12.8,1.8000000000000007,7,48,42,581087,
11.5,12.066666666666666,0.7505553499465134,11.3,12.8,1.5,11.96,0.7893034904268446,11.0,12.8,1.8000000000000007,11.971428571428572,0.7931252228038265,11.0,12.8,1.8000000000000007,7,48,42,681748,
12.3,12.133333333333333,0.6506407098647715,11.5,12.8,1.3000000000000007,11.74,0.7162401831787994,11.0,12.8,1.8000000000000007,11.785714285714286,0.7151423434733617,11.0,12.8,1.8000000000000007,7,48,42,782394,
11.4,11.966666666666667,0.41633319989322676,11.5,12.3,0.8000000000000007,12.0,0.608276253029822,11.3,12.8,1.5,11.942857142857143,0.6852180744287248,11.0,12.8,1.8000000000000007,7,48,42,882917,
12.4,11.733333333333334,0.493288286231625,11.4,12.3,0.9000000000000004,12.02,0.5805170109479999,11.4,12.8,1.4000000000000004,11.771428571428572,0.6421689437998015,11.0,12.8,1.8000000000000007,7,48,42,983626,
11.2,12.033333333333333,0.5507570547286104,11.4,12.4,1.0,11.94,0.4615192303685731,11.4,12.4,1.0,11.971428571428572,0.5765248931147314,11.3,12.8,1.5,7,48,43,86777,
11.5,11.666666666666666,0.642910050732864,11.2,12.4,1.200000000000001,11.76,0.5504543577809158,11.2,12.4,1.200000000000001,11.957142857142857,0.5968169536721261,11.2,12.8,1.6000000000000014,7,48,43,187666,
11.9,11.7,0.6244997998398403,11.2,12.4,1.200000000000001,11.76,0.5504543577809158,11.2,12.4,1.200000000000001,11.771428571428572,0.482059075613096,11.2,12.4,1.200000000000001,7,48,43,288325,
12.0,11.533333333333333,0.35118845842842517,11.2,11.9,0.7000000000000011,11.68,0.4764451699828641,11.2,12.4,1.200000000000001,11.742857142857144,0.46496287614225346,11.2,12.4,1.200000000000001,7,48,43,389052,
12.7,11.8,0.26457513110645914,11.5,12.0,0.5,11.8,0.46368092477478556,11.2,12.4,1.200000000000001,11.814285714285715,0.45981362684088833,11.2,12.4,1.200000000000001,7,48,43,489727,
11.3,12.2,0.43588989435406683,11.9,12.7,0.7999999999999989,11.86,0.5683308895353129,11.2,12.7,1.5,11.871428571428572,0.5468524655221177,11.2,12.7,1.5,7,48,43,590400,
11.9,12.0,0.6999999999999993,11.3,12.7,1.3999999999999986,11.88,0.5403702434442513,11.3,12.7,1.3999999999999986,11.857142857142858,0.5623081683476384,11.2,12.7,1.5,7,48,43,691073,
11.4,11.966666666666667,0.7023769168568486,11.3,12.7,1.3999999999999986,11.96,0.49799598391954875,11.3,12.7,1.3999999999999986,11.785714285714286,0.5113008619478078,11.2,12.7,1.5,7,48,43,791696,
12.7,11.533333333333333,0.3214550253664317,11.3,11.9,0.5999999999999996,11.86,0.5594640292279741,11.3,12.7,1.3999999999999986,11.814285714285715,0.47759317216145136,11.3,12.7,1.3999999999999986,7,48,43,893137,
11.2,12.0,0.6557438524301995,11.4,12.7,1.299999999999999,12.0,0.6782329983125261,11.3,12.7,1.3999999999999986,11.985714285714286,0.555063273956436,11.3,12.7,1.3999999999999986,7,48,43,993926,
11.6,11.766666666666666,0.8144527815247075,11.2,12.7,1.5,11.7,0.6204836822995425,11.2,12.7,1.5,11.885714285714286,0.6309478885734048,11.2,12.7,1.5,7,48,44,94636,
11.1,11.833333333333332,0.7767453465154028,11.2,12.7,1.5,11.76,0.5856620185738528,11.2,12.7,1.5,11.82857142857143,0.636957051703084,11.2,12.7,1.5,7,48,44,195325,
12.0,11.299999999999999,0.26457513110645914,11.1,11.6,0.5,11.6,0.6442049363362561,11.1,12.7,1.5999999999999996,11.6,0.5537749241945382,11.1,12.7,1.5999999999999996,7,48,44,296195,
12.2,11.566666666666666,0.4509249752822896,11.1,12.0,0.9000000000000004,11.719999999999999,0.6534523701081816,11.1,12.7,1.5999999999999996,11.7,0.5537749241945383,11.1,12.7,1.5999999999999996,7,48,44,396979,
11.8,11.766666666666666,0.5859465277082315,11.1,12.2,1.0999999999999996,11.62,0.48166378315169184,11.1,12.2,1.0999999999999996,11.742857142857142,0.5826867164470195,11.1,12.7,1.5999999999999996,7,48,44,497645,
12.2,12.0,0.1999999999999993,11.8,12.2,0.3999999999999986,11.74,0.4219004621945797,11.1,12.2,1.0999999999999996,11.799999999999999,0.5627314338711377,11.1,12.7,1.5999999999999996,7,48,44,598290,
11.6,12.066666666666666,0.2309401076758495,11.8,12.2,0.3999999999999986,11.86,0.45607017003965505,11.1,12.2,1.0999999999999996,11.728571428571428,0.4498677054212187,11.1,12.2,1.0999999999999996,7,48,44,699330,
12.1,11.866666666666667,0.305505046330389,11.6,12.2,0.5999999999999996,11.959999999999999,0.26076809620810565,11.6,12.2,0.5999999999999996,11.785714285714285,0.3933978962347215,11.1,12.2,1.0999999999999996,7,48,44,800031,
12.6,11.966666666666667,0.3214550253664317,11.6,12.2,0.5999999999999996,11.98,0.26832815729997445,11.6,12.2,0.5999999999999996,11.857142857142858,0.39940431835899,11.1,12.2,1.0999999999999996,7,48,44,900708,
12.6,12.1,0.5,11.6,12.6,1.0,12.06,0.3847076812334267,11.6,12.6,1.0,12.071428571428571,0.31997023671109204,11.6,12.6,1.0,7,48,45,1404,
11.8,12.433333333333334,0.28867513459481287,12.1,12.6,0.5,12.219999999999999,0.4147288270665544,11.6,12.6,1.0,12.157142857142857,0.37352886036263566,11.6,12.6,1.0,7,48,45,102133,
12.8,12.333333333333334,0.4618802153517,11.8,12.6,0.7999999999999989,12.14,0.456070170039655,11.6,12.6,1.0,12.1,0.39581140290126365,11.6,12.6,1.0,7,48,45,202847,
12.1,12.4,0.5291502622129179,11.8,12.8,1.0,12.38,0.4147288270665543,11.8,12.8,1.0,12.242857142857142,0.4466808810815721,11.6,12.8,1.200000000000001,7,48,45,303534,
12.1,12.233333333333334,0.5131601439446886,11.8,12.8,1.0,12.38,0.4147288270665543,11.8,12.8,1.0,12.228571428571428,0.44986770542121873,11.6,12.8,1.200000000000001,7,48,45,404278,
12.8,12.333333333333334,0.40414518843273867,12.1,12.8,0.7000000000000011,12.28,0.40865633483405106,11.8,12.8,1.0,12.3,0.3651483716701107,11.8,12.8,1.0,7,48,45,505075,
11.4,12.333333333333334,0.40414518843273867,12.1,12.8,0.7000000000000011,12.32,0.4549725266430933,11.8,12.8,1.0,12.4,0.395811402901264,11.8,12.8,1.0,7,48,45,605859,
11.8,12.1,0.7000000000000002,11.4,12.8,1.4000000000000004,12.24,0.5856620185738531,11.4,12.8,1.4000000000000004,12.22857142857143,0.5313952882562588,11.4,12.8,1.4000000000000004,7,48,45,706513,
12.6,12.0,0.721110255092798,11.4,12.8,1.4000000000000004,12.040000000000001,0.5128352561983235,11.4,12.8,1.4000000000000004,12.114285714285714,0.5241773600241667,11.4,12.8,1.4000000000000004,7,48,45,807156,
11.6,11.933333333333334,0.6110100926607782,11.4,12.6,1.1999999999999993,12.14,0.572712842531054,11.4,12.8,1.4000000000000004,12.22857142857143,0.5313952882562588,11.4,12.8,1.4000000000000004,7,48,45,907850,
11.9,12.0,0.5291502622129179,11.6,12.6,1.0,12.040000000000001,0.6228964600958975,11.4,12.8,1.4000000000000004,12.057142857142857,0.5094347941825426,11.4,12.8,1.4000000000000004,7,48,46,8494,
12.0,12.033333333333333,0.5131601439446883,11.6,12.6,1.0,11.86,0.456070170039655,11.4,12.6,1.1999999999999993,12.028571428571428,0.5122313465427046,11.4,12.8,1.4000000000000004,7,48,46,109296,
11.1,11.833333333333334,0.20816659994661352,11.6,12.0,0.40000000000000036,11.98,0.3768288736283353,11.6,12.6,1.0,12.014285714285714,0.511300861947808,11.4,12.8,1.4000000000000004,7,48,46,209988,
12.9,11.666666666666666,0.493288286231625,11.1,12.0,0.9000000000000004,11.84,0.5504543577809154,11.1,12.6,1.5,11.771428571428572,0.4785891965429423,11.1,12.6,1.5,7,48,46,310595,
12.2,12.0,0.9000000000000004,11.1,12.9,1.8000000000000007,11.9,0.6595452979136462,11.1,12.9,1.8000000000000007,11.985714285714286,0.6039552175136041,11.1,12.9,1.8000000000000007,7,48,46,411228,
11.9,12.066666666666666,0.9073771725877469,11.1,12.9,1.8000000000000007,12.02,0.6457553716385178,11.1,12.9,1.8000000000000007,12.042857142857143,0.6023762469230862,11.1,12.9,1.8000000000000007,7,48,46,511928,
12.4,12.333333333333334,0.5131601439446886,11.9,12.9,1.0,12.02,0.6457553716385178,11.1,12.9,1.8000000000000007,11.942857142857143,0.5503245795502351,11.1,12.9,1.8000000000000007,7,48,46,612579,
11.0,12.166666666666666,0.25166114784235827,11.9,12.4,0.5,12.1,0.6670832032063169,11.1,12.9,1.8000000000000007,12.057142857142857,0.5503245795502351,11.1,12.9,1.8000000000000007,7,48,46,713209,
12.4,11.766666666666667,0.7094598884597589,11.0,12.4,1.4000000000000004,12.08,0.7049822692805827,11.0,12.9,1.9000000000000004,11.928571428571429,0.6824326235712108,11.0,12.9,1.9000000000000004,7,48,46,813901,
